SerialNumber,NetworkIPv4_CIDR,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude
339,10.130.50.0/23,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
340,10.130.53.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
341,10.130.54.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
342,10.130.55.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
343,10.130.109.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
344,10.130.98.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
345,10.130.111.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
346,10.130.110.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
347,10.130.113.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
348,10.130.114.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
349,10.130.115.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
350,10.130.116.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
351,10.130.117.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
352,10.130.118.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
353,10.130.119.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
354,10.130.120.0/25,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
355,10.130.121.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
356,10.130.122.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
357,10.130.123.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
358,10.130.124.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
359,10.130.126.0/26,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
360,10.130.177.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
361,10.130.255.224/27,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
362,172.23.22.0/23,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
363,10.205.1.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
364,172.28.3.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
365,172.23.236.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
366,172.23.119.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
388,10.131.128.96/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
389,10.131.128.104/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
390,10.130.213.0/24,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
391,10.130.210.0/24,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
392,10.130.208.8/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
393,10.130.212.0/24,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
394,10.130.208.56/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
395,10.130.208.48/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
396,10.131.128.24/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
397,10.130.211.0/24,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
398,10.130.215.64/27,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
399,10.131.51.24/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
400,10.130.253.80/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
401,10.130.215.128/26,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
402,10.130.208.16/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
403,10.130.215.96/27,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
404,10.131.128.40/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
405,10.130.216.0/25,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
406,10.130.208.24/30,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
407,10.130.208.0/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
408,10.130.208.40/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
409,10.130.223.0/25,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
410,10.130.209.128/25,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
411,10.130.209.64/27,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
412,10.130.209.0/27,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
413,10.130.209.32/27,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
414,10.130.208.64/29,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766
415,10.128.138.0/26,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
416,10.128.139.0/26,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
417,10.128.139.128/25,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
418,10.128.144.0/23,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
419,10.128.131.0/25,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
420,10.128.131.128/26,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
421,10.128.138.64/26,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
422,10.128.150.128/25,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
423,10.128.149.0/25,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
424,10.128.148.128/25,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
425,10.128.146.0/23,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
426,10.128.150.64/26,Brazil,BR,Santa Catarina,26,Blumenau,-26.8768,-49.0976
427,10.195.199.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
428,10.195.198.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
429,10.195.195.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
430,10.195.196.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
431,10.195.197.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
432,10.146.152.0/24,Canada,CA,Ontario,ON,Mississauga,43.5419,-79.6164
433,10.153.128.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
434,10.157.21.128/25,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
435,10.157.21.0/25,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
436,10.146.80.0/23,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
437,10.158.227.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
438,10.157.20.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
439,10.150.243.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
440,10.150.199.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
441,10.150.198.224/28,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
442,10.150.240.0/26,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
443,10.150.241.0/24,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
444,10.150.224.0/28,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158
