,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5857,10.151.160.0/19,10224,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5857
5858,10.153.128.0/24,433,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5858
5859,10.156.16.0/21,11966,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5859
5860,10.156.218.0/24,3822,India,IN,Telangana,TG,Hyderabad,17.3846,78.4574,5860
5861,10.156.219.192/26,3821,India,IN,Telangana,TG,Hyderabad,17.3846,78.4574,5861
5862,10.156.251.0/24,14520,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5862
5863,10.157.16.0/24,3802,India,IN,Telangana,TG,Hyderabad,17.3846,78.4574,5863
5864,10.157.18.0/24,447,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5864
5865,10.157.19.0/24,449,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5865
5866,10.157.20.0/24,438,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5866
5867,10.157.21.0/25,435,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5867
5868,10.157.21.128/25,434,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5868
5869,10.157.22.0/24,448,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5869
5870,10.157.23.0/24,446,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5870
5871,10.157.24.0/29,445,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5871
5872,10.157.25.0/24,12207,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5872
5873,10.157.26.0/24,12206,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5873
5874,10.157.32.0/24,453,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5874
5875,10.157.34.0/24,456,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5875
5876,10.157.160.0/24,459,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5876
5877,10.157.162.0/24,464,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5877
5878,10.157.163.0/24,463,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5878
5879,10.158.6.0/23,14657,United States,US,Michigan,MI,Ann Arbor,42.2503,-83.8393,5879
5880,10.158.22.0/23,14278,United States,US,New York,NY,New York,40.7428,-73.9712,5880
5881,10.158.42.0/27,10859,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5881
5882,10.158.42.32/27,10858,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5882
5883,10.158.49.0/26,8616,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5883
5884,10.158.49.64/26,8615,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5884
5885,10.158.49.128/25,8617,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5885
5886,10.158.63.104/29,8477,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5886
5887,10.158.127.72/29,8476,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5887
5888,10.158.178.0/23,14519,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5888
5889,10.158.182.0/24,14277,United States,US,New York,NY,New York,40.7428,-73.9712,5889
5890,10.158.184.0/23,14274,United States,US,New York,NY,New York,40.7428,-73.9712,5890
5891,10.158.186.0/23,14276,United States,US,New York,NY,New York,40.7428,-73.9712,5891
5892,10.158.188.0/23,14275,United States,US,New York,NY,New York,40.7428,-73.9712,5892
5893,10.158.200.0/24,455,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5893
5894,10.158.202.0/24,457,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5894
5895,10.158.203.0/24,458,Canada,CA,Ontario,ON,Markham,43.845,-79.322,5895
5896,10.158.225.0/24,14517,United States,US,Illinois,IL,Chicago,41.8095,-87.6522,5896
5897,10.158.227.0/24,437,Canada,CA,Ontario,ON,Toronto,43.6693,-79.3158,5897
5898,10.158.237.0/24,460,Canada,CA,Quebec,QC,Montreal,45.5242,-73.593,5898
5899,10.158.241.0/24,14530,United States,US,New Jersey,NJ,Jersey City,40.7182,-74.0476,5899
5900,10.159.1.0/24,1668,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5900
5901,10.159.19.0/24,1666,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5901
